character,id,favs,posts
lilith_(homunculus)_(machikado_mazoku),5547267,14,129
skullman_(blue_archive),5137936,74,129
ishigami_nozomi_(1st_costume),6428546,40,129
adventurer_(ff14),4785401,27,129
tiki_(young)_(fire_emblem),3278226,44,129
megurine_luka_(toeto),605922,67,128
puru-see_(hoshizuki_(seigetsu)),740872,82,128
sakura_chiyono_o_(hinoshita_kaisan_hana_akari)_(umamusume),6137627,29,128
sakamata_chloe_(1st_costume),4987471,191,128
wanderer_(wanderer_impression)_(genshin_impact),6719239,15,128
amiya_(guard)_(arknights),6803207,53,127
dan_heng_(hunt)_(honkai:_star_rail),9040599,47,126
morgan_le_fay_(queen_of_winter)_(fate),6370676,96,126
rotom_phone,7267234,63,126
shun_(small)_(blue_archive),5736999,107,126
rice_shower_(casual)_(umamusume),5770935,49,125
dokibird_(bounty_hunter),7974388,64,125
kuzuha_(1st_costume)_(nijisanji),5274536,12,125
shiina_yuika_(1st_costume),4377755,42,125
oda_nobunaga_(maou_avenger)_(fate),3559151,121,124
mashiro_meme_(1st_costume),5303764,81,124
nero_claudius_(fate/extra),5649986,188,124
uruha_rushia_(school_uniform),5076643,98,124
murasaki_shion_(gothic_lolita),6999307,94,124
kinomoto_sakura_(astral_sakura),6877584,32,123
sailor_saturn,522538,63,123
gunner_(sekaiju),5386604,56,122
ike_eveland_(1st_costume),5139497,22,122
koseki_bijou_(casual),8721891,46,122
mori_calliope_(1st_costume),4238767,108,122
shiranui_kai_ni_(kancolle),3273081,40,121
suzu_(cookie),3437039,53,121
mint_fantome_(minto_2.0),8745537,65,121
himemori_luna_(1st_costume),5419970,61,119
ouro_kronii_(1st_costume),5792056,83,119
mr._plantegg_(omori),4492879,35,118
cu_chulainn_(caster)_(fate),4189271,15,118
alcremie_(strawberry_sweet),3832530,70,117
mithrun_(young),9299743,23,117
yorick_(shiori_novella),8138270,122,117
rosemi_lovelock_(1st_costume),5022106,82,117
daitaku_helios_(fun_fun_party_night)_(umamusume),6158616,38,117
falin_touden_(tallman),8091392,50,117
ninomae_ina'nis_(new_year),5044962,85,116
goldenglow_(maiden_for_the_bright_night)_(arknights),7020866,26,116
abigail_williams_(festival_outfit)_(fate),3746530,54,116
yuki_miku_(2021),5035090,49,116
mutsuki_(new_year)_(blue_archive),8234456,149,115
queen_dizzy,8240678,68,115
amamiya_kokoro_(1st_costume),7117010,45,115
yuki_miku_(2012),2839070,55,114
fate_testarossa_(impulse_form),133401,28,114
sparkle_(school_uniform)_(honkai:_star_rail),7439619,132,114
astolfo_(saber)_(fate),3901533,63,113
tokoyami_towa_(underworld_uniform),5574791,78,113
shiranui_flare_(street),4322068,108,113
hakos_baelz_(1st_costume),5002636,81,112
batsu_miku,8800762,32,112
sakura_miko_(street),7294962,38,112
shaymin,628962,32,112
