tag,count
ambulance,177
green_bird,177
strawberry_syrup,175
vajra_(object),175
compass_rose,174
baumkuchen,174
yebisu,173
the_magician_(tarot),172
flamel_symbol,172
lilac,172
red_pepper,171
boston_terrier,170
mustard_bottle,168
interlocked_venus_symbols,167
the_star_(tarot),167
grapefruit,167
bird_of_paradise_flower,167
@_(symbol),167
bernese_mountain_dog,167
neptune_symbol,166
anthurium,166
plum,166
clear_card,166
badminton,165
conveyor_belt_sushi,165
elden_ring_(object),165
record_jacket,165
cornflower,164
scottish_fold,164
chi-hatan_(emblem),164
judo,163
jackal,163
peas,163
st._bernard,163
biscuit_(bread),162
asparagus,161
stretcher,161
bugles_(food),161
sushi_geta,160
floating_screen,157
natural_sign,157
spaghetti_and_meatballs,157
caramel,156
squash,156
plasma,156
fruit_sandwich,156
ichigo_daifuku,155
apple_peel,155
hissing,155
the_empress_(tarot),154
almond,154
chocolate_milk,153
poodle,152
speed_limit_sign,152
woman_yelling_at_cat_(meme),152
onion_rings,151
hyacinth,150
cockatoo,150
tamagokake_gohan,150
cookie_cutter,149
dachshund,149
gingerbread_house,149
space_habitat,147
granulated_sugar,147
dogwood_(flower),147
dvd_(object),147
sliced_cheese,146
java_sparrow,145
kamchatka_lily,145
radio_booth,144
the_moon_(tarot),144
hummingbird,144
wedding_cake,144
sliced_meat,144
sardegna_empire_(emblem),144
space_sword,143
ratite,143
tiramisu,143
sunagakure_symbol,142
uranus_symbol,141
feast,141
snowdrop_(flower),141
moon_gate,141
chocolate_icing,141
cat_helmet,140
white_fire,139
huffing,139
cross_patty,138
the_sun_(tarot),138
purring,138
chocolate_clothes,136
the_hanged_man_(tarot),136
mechanical_foot,136
anmitsu_(dessert),136
wheel_of_fortune_(tarot),135
caduceus,135
the_high_priestess_(tarot),134
tabasco,134
pelican,134
northern_parliament_(emblem),134
chocolate_strawberry,133
the_hermit_(tarot),133
trap_door,133
house_of_cards,133
dalmatian,133
chinese_food,133
habanero_pepper,132
death_(tarot),132
papillon_(dog),132
magitek_armor,132
pilot_chair,132
meat_armor,131
apollo_chocolate,130
hollyhock,130
heron,130
puffing_up,130
soumen,130
strawberry_tart,129
reversi,129
parental_advisory,129
walnut,129
vichya_dominion_(emblem),129
beagle,127
lacrosse,127
justice_(tarot),127
amazake_(drink),127
bell_pepper_slice,126
sukiyaki,126
old-fashioned_donut,126
cooking_oil,125
fig,125
yuri_(object),125
living_armor,125
primrose_(flower),124
rugby_ball,124
green_cat,124
beyblade_(object),124
yule_log_(cake),123
gas_pump,123
dragon_fruit,123
strength_(tarot),122
the_emperor_(tarot),122
hockey_stick,122
mamezara,122
afghan_hound,122
cheetah,120
dodgeball,120
bitter_melon,120
okosama_lunch,120
pudding_a_la_mode,120
shiny_rod_(little_witch_academia),120
the_chariot_(tarot),119
chicken_wing,119
arm_slave_(mecha),119
cheese_wheel,118
egg_carton,118
chocolate_fountain,118
kitkat,117
the_hierophant_(tarot),117
sakura_card,116
bulldog,116
lay's_(potato_chips),116
nobiiru_arm,115
condensed_milk,115
peephole,115
dodecagram,114
lunch,114
subway_(company),114
magpie,113
space_elevator,112
brazier,112
signal_bar,112
lychee,112
tiger_lily,111
rafflesia_(flower),111
sweet_pea,111
cat_symbol,110
heaven_(kanji),110
iris_libre_(emblem),110
monolith_(object),110
soju,109
budweiser,108
the_world_(tarot),108
ice_cream_stand,108
cat_ear_bikini,108
snickers_(brand),107
side_handle_teapot,107
the_devil_(tarot),107
akita_inu,107
gingerbread_cookie,107
kirigakure_symbol,106
mixer_(cooking),106
cappuccino,106
borzoi,105
dodo_(bird),105
military_police_brigade_(emblem),105
police_motorcycle,105
tie_fighter,104
castella_(food),104
kitchen_scale,103
dotted_half_note,103
red_bird,103
barn_owl,103
death_star,102
orange_blossoms,102
z_(russian_symbol),102
pluto_symbol,101
lynx,101
french_toast,101
yellow_pepper,100
air_pump,100
prism,100
holographic_keyboard,100
temperance_(tarot),99
siegrunen,99
recipe_(object),99
gracidea,99
video_game_cover_(object),99
utensil_rack,98
shumai_(food),98
movie_poster_(object),98
ice_cream_sandwich,96
nixie_tube,96
card_with_aura,95
dianthus,95
vulture,95
scarlet_macaw,95
alstroemeria_(flower),95
cat_zipper,95
iwagakure_symbol,94
tequila,94
amaryllis_(flower),93
angel's_trumpet,93
card_pendant,93
orangette,93
fire_truck,93
hibachi_(object),93
pheasant,92
one_way_sign,92
tomato_sauce,92
pi_(math),91
crank,91
parsley,91
thistle,91
basil_leaf,91
barbed_tongue,91
snowbell_(flower),90
crocus_(flower),90
ice_cream_scoop_(utensil),90
tangyuan,90
cats_are_scared_of_cucumbers,90
mechanical_broom,89
custard,89
minus_sign,89
sweet_flower,89
open_car_hood,89
gumball,88
edelweiss_(flower),88
gravity_suit_(metroid),88
stork,88
blazblue_insignia,88
sakamoto_clan_(emblem),88
fondue,87
too_many_dogs,87
kneading_(behavior),87
tsukimi_burger,87
apron_basket,87
dao_fu,86
brownie_(food),86
mess_kit,86
ribbon_cable,86
kingfisher,85
tamagoyaki_pan,85
the_tower_(tarot),84
nerunerunerune,84
doner_kebab,84
ass_mousepad,83
starfruit,83
ice_sculpture,83
brown_bird,83
eustoma,82
red_cat,82
iroha_karuta,82
grape_stomping,82
wheel_of_dharma,81
k9_(dog),81
canele,81
arson,80
milk_mustache,80
hat_rack,80
automatic_door,79
two-legged_horse_(kanji),79
card_background,78
cyber_elf_(mega_man),78
tea_ceremony,78
lemon_blossoms,78
sizzler_plate,78
dragon_empery_(emblem),78
equal_sign,77
tetrahedron,77
501st_joint_fighter_wing_(emblem),77
pedestrians_only_sign,77
light_bow_shekinah,77
maltese_cross,76
georgia_max_coffee,76
geranium,76
